Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-4355,Antiviral,Allergy Relief,Stomach Upset,Syrup,37 mg,OTC,BioSynth,1990,A antiviral used for allergy relief.,417.61,Active
Drug-9804,Antiseptic,Anxiety Reduction,Dizziness,Gel,422 mg,OTC,Global Remedies,2008,A antiseptic used for anxiety reduction.,284.74,Active
Drug-4183,Antihypertensive,Diabetes,"Nausea, Dizziness",Cream,181 mg,Prescription,MediLife,1986,A antihypertensive used for diabetes.,331.27,Discontinued
Drug-4250,Antibiotic,Virus Management,"Nausea, Stomach Upset, Fatigue",Capsule,486 mg,OTC,Global Remedies,1997,A antibiotic used for virus management.,132.31,Discontinued
Drug-5198,Antiseptic,Infection,Stomach Upset,Capsule,727 mg,Prescription,PharmaCorp,2023,A antiseptic used for infection.,401.45,Active
Drug-3588,Antidepressant,Virus Management,"Dizziness, Nausea, Drowsiness",Tablet,331 mg,OTC,MediLife,1986,A antidepressant used for virus management.,440.11,Active
Drug-6505,Sedative,Infection,"Headache, Fatigue",Injection,998 mg,Prescription,PharmaCorp,2019,A sedative used for infection.,255.32,Active
Drug-7868,Antihistamine,Virus Management,"Nausea, Drowsiness, Headache",Syrup,88 mg,Prescription,BioSynth,2009,A antihistamine used for virus management.,228.02,Discontinued
Drug-9036,Antihypertensive,Pain Relief,"Nausea, Fatigue, Headache",Capsule,356 mg,OTC,HealthPlus,1991,A antihypertensive used for pain relief.,331.24,Active
Drug-9400,Antifungal,Allergy Relief,"Stomach Upset, Nausea, Drowsiness",Tablet,335 mg,Prescription,Global Remedies,2019,A antifungal used for allergy relief.,451.05,Discontinued
Drug-6908,Antidepressant,Allergy Relief,Stomach Upset,Capsule,95 mg,OTC,MediLife,1983,A antidepressant used for allergy relief.,262.08,Active
Drug-2585,Antifungal,Blood Pressure Control,Dizziness,Cream,224 mg,OTC,Global Remedies,1991,A antifungal used for blood pressure control.,72.33,Discontinued
Drug-5730,Analgesic,Anxiety Reduction,"Nausea, Headache, Drowsiness",Capsule,394 mg,Prescription,PharmaCorp,2005,A analgesic used for anxiety reduction.,43.72,Discontinued
Drug-1843,Antiseptic,Wound Cleaning,"Dizziness, Drowsiness, Headache",Cream,878 mg,OTC,MediLife,2018,A antiseptic used for wound cleaning.,154.3,Active
Drug-3595,Sedative,Virus Management,"Nausea, Dizziness, Fatigue",Tablet,991 mg,Prescription,MediLife,1987,A sedative used for virus management.,418.27,Discontinued
Drug-8616,Analgesic,Virus Management,Stomach Upset,Syrup,66 mg,OTC,HealthPlus,1988,A analgesic used for virus management.,20.46,Discontinued
Drug-8047,Antihypertensive,Fungal Infection,"Headache, Fatigue",Cream,525 mg,Prescription,BioSynth,1983,A antihypertensive used for fungal infection.,477.94,Discontinued
Drug-3837,Antihypertensive,Fungal Infection,Fatigue,Syrup,664 mg,Prescription,MediLife,1997,A antihypertensive used for fungal infection.,335.98,Active
Drug-9825,Antifungal,Virus Management,"Drowsiness, Dizziness",Gel,812 mg,Prescription,MediLife,1989,A antifungal used for virus management.,278.04,Discontinued
Drug-5425,Antifungal,Fungal Infection,Headache,Syrup,213 mg,Prescription,PharmaCorp,2010,A antifungal used for fungal infection.,257.46,Discontinued
Drug-9991,Analgesic,Anxiety Reduction,"Stomach Upset, Drowsiness",Injection,647 mg,Prescription,HealthPlus,2016,A analgesic used for anxiety reduction.,304.35,Discontinued
Drug-6515,Antihistamine,Virus Management,Drowsiness,Syrup,836 mg,OTC,BioSynth,1997,A antihistamine used for virus management.,304.58,Active
Drug-5179,Antidiabetic,Anxiety Reduction,"Fatigue, Nausea, Dizziness",Tablet,815 mg,OTC,MediLife,1980,A antidiabetic used for anxiety reduction.,329.86,Active
Drug-7399,Antihypertensive,Allergy Relief,"Drowsiness, Stomach Upset, Nausea",Syrup,793 mg,Prescription,Global Remedies,2012,A antihypertensive used for allergy relief.,16.1,Active
Drug-5127,Analgesic,Pain Relief,Dizziness,Cream,274 mg,Prescription,BioSynth,1983,A analgesic used for pain relief.,176.25,Discontinued
Drug-9951,Antiseptic,Infection,"Headache, Nausea, Stomach Upset",Cream,339 mg,Prescription,BioSynth,1995,A antiseptic used for infection.,176.21,Discontinued
Drug-3831,Antihypertensive,Allergy Relief,"Dizziness, Drowsiness, Nausea",,457 mg,Prescription,PharmaCorp,2019,A antihypertensive used for allergy relief.,270.51,Discontinued
Drug-3422,Antihypertensive,Pain Relief,"Headache, Dizziness, Fatigue",Capsule,158 mg,Prescription,PharmaCorp,2009,A antihypertensive used for pain relief.,383.07,Active
Drug-3051,Antiseptic,Infection,Headache,Gel,591 mg,OTC,PharmaCorp,2012,A antiseptic used for infection.,477.86,Active
Drug-5694,Antifungal,Infection,Stomach Upset,Capsule,924 mg,OTC,PharmaCorp,1987,A antifungal used for infection.,497.5,Discontinued
Drug-5642,Analgesic,Diabetes,"Stomach Upset, Drowsiness, Nausea",Syrup,332 mg,OTC,Global Remedies,1983,A analgesic used for diabetes.,323.26,Active
Drug-1587,Analgesic,Blood Pressure Control,"Stomach Upset, Nausea",Gel,448 mg,OTC,Global Remedies,1999,A analgesic used for blood pressure control.,389.51,Active
Drug-3386,Analgesic,Allergy Relief,Stomach Upset,Gel,722 mg,OTC,Global Remedies,2006,A analgesic used for allergy relief.,176.05,Active
Drug-7770,Antiseptic,Allergy Relief,Headache,Injection,995 mg,OTC,HealthPlus,2017,A antiseptic used for allergy relief.,76.92,Discontinued
Drug-2928,Antiseptic,Virus Management,"Stomach Upset, Nausea",Tablet,324 mg,OTC,BioSynth,2008,A antiseptic used for virus management.,234.41,Active
Drug-4484,Antiseptic,Wound Cleaning,"Drowsiness, Stomach Upset",Capsule,640 mg,Prescription,PharmaCorp,2006,A antiseptic used for wound cleaning.,73.89,Active
Drug-7774,Antiviral,Depression,Nausea,Capsule,836 mg,OTC,Global Remedies,2001,A antiviral used for depression.,314.79,Discontinued
Drug-1326,Antibiotic,Anxiety Reduction,"Headache, Drowsiness, Stomach Upset",Gel,,Prescription,PharmaCorp,1990,A antibiotic used for anxiety reduction.,109.05,Discontinued
Drug-4179,Antidepressant,Diabetes,"Nausea, Dizziness",Syrup,480 mg,Prescription,Global Remedies,2017,A antidepressant used for diabetes.,209.93,Active
Drug-4614,Analgesic,Diabetes,"Drowsiness, Nausea",Tablet,424 mg,Prescription,HealthPlus,1982,A analgesic used for diabetes.,386.03,Active
Drug-8314,Antiviral,Infection,Dizziness,Gel,105 mg,OTC,BioSynth,1988,A antiviral used for infection.,396.27,Discontinued
Drug-9853,Analgesic,Fungal Infection,Stomach Upset,Tablet,147 mg,OTC,PharmaCorp,2012,A analgesic used for fungal infection.,161.68,Discontinued
Drug-5247,Antihistamine,Pain Relief,"Nausea, Headache, Stomach Upset",Injection,555 mg,OTC,BioSynth,1990,A antihistamine used for pain relief.,28.04,Discontinued
Drug-8219,Sedative,Wound Cleaning,"Headache, Stomach Upset",Cream,664 mg,Prescription,MediLife,2011,A sedative used for wound cleaning.,316.59,Discontinued
Drug-9329,Antihypertensive,Wound Cleaning,"Drowsiness, Dizziness",Tablet,621 mg,Prescription,Global Remedies,2011,A antihypertensive used for wound cleaning.,143.02,Active
Drug-6085,Antifungal,Virus Management,Headache,Tablet,260 mg,OTC,Global Remedies,2009,A antifungal used for virus management.,225.98,Discontinued
Drug-8914,Antihistamine,Blood Pressure Control,Nausea,Injection,611 mg,Prescription,Global Remedies,1999,A antihistamine used for blood pressure control.,357.12,Active
Drug-6127,Antiviral,Infection,"Stomach Upset, Dizziness",Capsule,97 mg,Prescription,PharmaCorp,2006,A antiviral used for infection.,276.94,Active
Drug-5882,Antihistamine,Blood Pressure Control,"Dizziness, Stomach Upset, Headache",Gel,127 mg,Prescription,BioSynth,1982,A antihistamine used for blood pressure control.,97.82,Discontinued
Drug-5734,Antifungal,Anxiety Reduction,"Fatigue, Drowsiness",Syrup,429 mg,OTC,Global Remedies,1987,A antifungal used for anxiety reduction.,67.09,Active
Drug-5055,Antihypertensive,Fungal Infection,"Stomach Upset, Headache",Injection,309 mg,Prescription,HealthPlus,2011,A antihypertensive used for fungal infection.,369.36,Discontinued
Drug-9038,Sedative,Wound Cleaning,"Drowsiness, Headache, Nausea",Injection,690 mg,OTC,Global Remedies,2009,A sedative used for wound cleaning.,215.87,Active
Drug-7792,Antihypertensive,Fungal Infection,Fatigue,Tablet,714 mg,OTC,BioSynth,2022,A antihypertensive used for fungal infection.,455.74,Active
Drug-2026,Antihypertensive,Anxiety Reduction,Nausea,Capsule,684 mg,OTC,MediLife,1982,A antihypertensive used for anxiety reduction.,83.89,Discontinued
Drug-5411,Antidiabetic,Anxiety Reduction,Stomach Upset,Tablet,299 mg,OTC,PharmaCorp,1987,A antidiabetic used for anxiety reduction.,295.19,Discontinued
Drug-9111,Antihypertensive,Allergy Relief,Fatigue,Capsule,939 mg,OTC,Global Remedies,2015,A antihypertensive used for allergy relief.,298.24,Active
Drug-5983,Antidiabetic,Pain Relief,"Drowsiness, Stomach Upset, Headache",Cream,151 mg,OTC,HealthPlus,2001,A antidiabetic used for pain relief.,11.44,Discontinued
Drug-6615,Antidiabetic,Wound Cleaning,"Stomach Upset, Headache",Capsule,859 mg,OTC,BioSynth,1989,A antidiabetic used for wound cleaning.,453.06,Discontinued
Drug-4934,Analgesic,Virus Management,Nausea,Injection,900 mg,OTC,MediLife,1997,A analgesic used for virus management.,38.22,Active
Drug-4577,Antifungal,Anxiety Reduction,"Fatigue, Headache, Dizziness",Tablet,474 mg,OTC,PharmaCorp,2009,A antifungal used for anxiety reduction.,108.11,Discontinued
Drug-2985,Analgesic,Virus Management,"Nausea, Dizziness",Injection,758 mg,OTC,PharmaCorp,2020,A analgesic used for virus management.,251.2,Active
Drug-4199,Antidiabetic,Depression,Stomach Upset,Syrup,403 mg,Prescription,PharmaCorp,2013,A antidiabetic used for depression.,370.41,Active
Drug-1948,Sedative,Pain Relief,Dizziness,Injection,483 mg,OTC,BioSynth,1983,A sedative used for pain relief.,28.58,Discontinued
Drug-9756,Antihistamine,Anxiety Reduction,Drowsiness,Cream,39 mg,Prescription,MediLife,1995,A antihistamine used for anxiety reduction.,267.84,Discontinued
Drug-4330,Antifungal,Anxiety Reduction,"Headache, Nausea, Stomach Upset",Gel,537 mg,Prescription,HealthPlus,2021,A antifungal used for anxiety reduction.,151.18,Discontinued
Drug-7596,Antifungal,Wound Cleaning,Fatigue,Injection,107 mg,OTC,MediLife,2002,A antifungal used for wound cleaning.,112.25,Active
Drug-2252,Antiseptic,Depression,"Drowsiness, Dizziness",Capsule,538 mg,Prescription,Global Remedies,2018,A antiseptic used for depression.,415.03,Active
Drug-5018,Antidiabetic,Diabetes,"Stomach Upset, Dizziness",Capsule,,Prescription,BioSynth,2011,A antidiabetic used for diabetes.,288.41,Active
Drug-4132,Antibiotic,Depression,"Fatigue, Drowsiness, Nausea",Tablet,335 mg,Prescription,MediLife,2011,A antibiotic used for depression.,474.08,Discontinued
Drug-5028,Antiseptic,Pain Relief,"Stomach Upset, Dizziness",Tablet,34 mg,Prescription,MediLife,2004,A antiseptic used for pain relief.,227.27,Discontinued
Drug-5891,Sedative,Allergy Relief,Headache,Cream,925 mg,OTC,HealthPlus,1992,A sedative used for allergy relief.,119.21,Active
Drug-6327,Antihypertensive,Fungal Infection,"Drowsiness, Stomach Upset, Dizziness",Capsule,666 mg,OTC,HealthPlus,2020,A antihypertensive used for fungal infection.,20.82,Active
Drug-6000,Antihypertensive,Anxiety Reduction,"Drowsiness, Stomach Upset",Gel,235 mg,Prescription,BioSynth,1987,A antihypertensive used for anxiety reduction.,261.96,Active
Drug-6055,Sedative,Blood Pressure Control,Stomach Upset,Tablet,883 mg,OTC,Global Remedies,1998,A sedative used for blood pressure control.,437.38,Discontinued
Drug-1952,Antifungal,Anxiety Reduction,Dizziness,,384 mg,OTC,PharmaCorp,2016,A antifungal used for anxiety reduction.,107.92,Active
Drug-3200,Antibiotic,Virus Management,"Headache, Fatigue, Dizziness",Tablet,94 mg,OTC,Global Remedies,2019,A antibiotic used for virus management.,454.17,Active
Drug-8050,Sedative,Wound Cleaning,Headache,Capsule,276 mg,OTC,HealthPlus,1990,A sedative used for wound cleaning.,22.11,Active
Drug-9393,Analgesic,Virus Management,Drowsiness,Capsule,53 mg,Prescription,HealthPlus,1986,A analgesic used for virus management.,259.34,Discontinued
Drug-8099,Antiseptic,Diabetes,"Drowsiness, Dizziness, Stomach Upset",Tablet,654 mg,OTC,HealthPlus,1981,A antiseptic used for diabetes.,199.54,Active
Drug-9299,Antiseptic,Wound Cleaning,"Drowsiness, Stomach Upset, Fatigue",Syrup,623 mg,OTC,BioSynth,2002,A antiseptic used for wound cleaning.,323.38,Active
Drug-5118,Antifungal,Anxiety Reduction,Headache,Tablet,991 mg,OTC,Global Remedies,2021,A antifungal used for anxiety reduction.,498.19,Active
Drug-7611,Antihistamine,Allergy Relief,"Drowsiness, Nausea",Capsule,125 mg,OTC,HealthPlus,1992,A antihistamine used for allergy relief.,161.95,Active
Drug-4669,Sedative,Fungal Infection,Stomach Upset,Cream,422 mg,Prescription,PharmaCorp,1991,A sedative used for fungal infection.,112.86,Discontinued
Drug-5379,Antifungal,Anxiety Reduction,Headache,Gel,728 mg,Prescription,Global Remedies,2010,A antifungal used for anxiety reduction.,396.02,Active
Drug-7846,Antiseptic,Anxiety Reduction,Headache,Cream,264 mg,OTC,Global Remedies,1990,A antiseptic used for anxiety reduction.,9.71,Active
Drug-5709,Antihypertensive,Allergy Relief,Nausea,Tablet,695 mg,Prescription,PharmaCorp,1985,A antihypertensive used for allergy relief.,136.81,Discontinued
Drug-7910,Analgesic,Virus Management,Nausea,Injection,288 mg,Prescription,PharmaCorp,2016,A analgesic used for virus management.,271.53,Active
Drug-1035,Antidiabetic,Allergy Relief,"Nausea, Fatigue, Headache",Capsule,525 mg,Prescription,Global Remedies,2018,A antidiabetic used for allergy relief.,356.91,Discontinued
Drug-4835,Antibiotic,Wound Cleaning,"Fatigue, Stomach Upset",Capsule,930 mg,OTC,MediLife,2002,A antibiotic used for wound cleaning.,319.96,Discontinued
Drug-5621,Sedative,Diabetes,"Stomach Upset, Headache, Drowsiness",Tablet,668 mg,Prescription,BioSynth,2013,A sedative used for diabetes.,387.69,Active
Drug-8267,Antibiotic,Depression,Dizziness,Injection,228 mg,Prescription,MediLife,2013,A antibiotic used for depression.,14.76,Discontinued
Drug-6085,Antifungal,Pain Relief,"Stomach Upset, Fatigue",Capsule,207 mg,Prescription,PharmaCorp,2001,A antifungal used for pain relief.,260.03,Active
Drug-6811,Antidepressant,Infection,Drowsiness,Gel,16 mg,Prescription,HealthPlus,1999,A antidepressant used for infection.,234.15,Active
Drug-5652,Antifungal,Virus Management,"Dizziness, Stomach Upset, Fatigue",Capsule,752 mg,Prescription,PharmaCorp,2012,A antifungal used for virus management.,458.87,Discontinued
Drug-9379,Analgesic,Infection,"Dizziness, Drowsiness",Capsule,737 mg,Prescription,PharmaCorp,2001,A analgesic used for infection.,24.77,Active
Drug-8816,Analgesic,Diabetes,Drowsiness,Tablet,17 mg,OTC,HealthPlus,2006,A analgesic used for diabetes.,446.11,Active
Drug-8293,Antibiotic,Diabetes,Drowsiness,Injection,809 mg,OTC,BioSynth,2005,A antibiotic used for diabetes.,353.38,Discontinued
Drug-3262,Antidepressant,Virus Management,"Stomach Upset, Dizziness, Drowsiness",Tablet,282 mg,OTC,PharmaCorp,2022,A antidepressant used for virus management.,417.35,Active
Drug-5377,Antihistamine,Diabetes,Drowsiness,Injection,938 mg,OTC,PharmaCorp,2020,A antihistamine used for diabetes.,112.19,Active
Drug-1247,Sedative,Blood Pressure Control,"Headache, Stomach Upset, Dizziness",Gel,887 mg,OTC,HealthPlus,2011,A sedative used for blood pressure control.,487.46,Active
Drug-3070,Antihistamine,Wound Cleaning,"Fatigue, Drowsiness",Syrup,99 mg,Prescription,BioSynth,2013,A antihistamine used for wound cleaning.,180.07,Active
Drug-6988,Antidiabetic,Infection,"Drowsiness, Stomach Upset",Syrup,319 mg,OTC,Global Remedies,1993,A antidiabetic used for infection.,85.91,Discontinued
Drug-3142,Antihypertensive,Diabetes,"Fatigue, Drowsiness, Stomach Upset",Syrup,213 mg,Prescription,Global Remedies,2019,A antihypertensive used for diabetes.,367.54,Discontinued
Drug-7661,Antihypertensive,Diabetes,"Stomach Upset, Nausea, Headache",Tablet,333 mg,OTC,MediLife,2016,A antihypertensive used for diabetes.,301.81,Discontinued
Drug-9110,Antihistamine,Virus Management,"Drowsiness, Nausea",Cream,545 mg,OTC,MediLife,2015,A antihistamine used for virus management.,40.54,Discontinued
Drug-5993,Antiseptic,Diabetes,Stomach Upset,,225 mg,OTC,PharmaCorp,2017,A antiseptic used for diabetes.,347.75,Discontinued
Drug-6650,Antidepressant,Virus Management,"Nausea, Fatigue",Capsule,953 mg,Prescription,BioSynth,1985,A antidepressant used for virus management.,453.18,Discontinued
Drug-1286,Analgesic,Infection,Headache,Injection,154 mg,Prescription,BioSynth,2013,A analgesic used for infection.,163.01,Discontinued
Drug-6088,Antihypertensive,Allergy Relief,Fatigue,Injection,280 mg,Prescription,PharmaCorp,2008,A antihypertensive used for allergy relief.,380.77,Discontinued
Drug-1672,Antidiabetic,Depression,"Dizziness, Fatigue",Syrup,273 mg,Prescription,PharmaCorp,1990,A antidiabetic used for depression.,164.93,Active
Drug-8530,Antihistamine,Diabetes,"Nausea, Headache, Dizziness",Gel,681 mg,Prescription,HealthPlus,2013,A antihistamine used for diabetes.,165.88,Discontinued
Drug-1823,Antifungal,Diabetes,Nausea,Syrup,863 mg,OTC,PharmaCorp,2004,A antifungal used for diabetes.,230.49,Active
Drug-1467,Antidiabetic,Fungal Infection,"Stomach Upset, Headache",Capsule,107 mg,Prescription,BioSynth,2014,A antidiabetic used for fungal infection.,329.23,Active
Drug-2841,Antifungal,Fungal Infection,Drowsiness,Cream,167 mg,Prescription,Global Remedies,2005,A antifungal used for fungal infection.,318.63,Discontinued
Drug-2643,Antihypertensive,Fungal Infection,"Headache, Dizziness",Cream,570 mg,OTC,MediLife,1982,A antihypertensive used for fungal infection.,232.82,Active
Drug-9464,Antihistamine,Diabetes,"Fatigue, Dizziness, Headache",Syrup,66 mg,Prescription,HealthPlus,1985,A antihistamine used for diabetes.,422.92,Discontinued
Drug-2739,Antiviral,Infection,"Headache, Dizziness",Capsule,718 mg,OTC,HealthPlus,2005,A antiviral used for infection.,110.91,Active
Drug-3375,Antidiabetic,Depression,"Nausea, Drowsiness, Fatigue",Cream,328 mg,Prescription,MediLife,2023,A antidiabetic used for depression.,173.11,Discontinued
Drug-1478,Antibiotic,Diabetes,"Nausea, Drowsiness",Capsule,367 mg,Prescription,HealthPlus,2006,A antibiotic used for diabetes.,252.55,Discontinued
Drug-5293,Antihypertensive,Wound Cleaning,"Nausea, Dizziness",Tablet,508 mg,OTC,MediLife,2019,A antihypertensive used for wound cleaning.,159.62,Discontinued
Drug-2913,Antihistamine,Blood Pressure Control,"Stomach Upset, Drowsiness, Nausea",Gel,16 mg,Prescription,PharmaCorp,1998,A antihistamine used for blood pressure control.,29.95,Active
Drug-4087,Antifungal,Anxiety Reduction,Headache,Tablet,44 mg,Prescription,HealthPlus,1984,A antifungal used for anxiety reduction.,467.41,Discontinued
Drug-5485,Antibiotic,Anxiety Reduction,Stomach Upset,Injection,269 mg,Prescription,PharmaCorp,2021,A antibiotic used for anxiety reduction.,237.1,Active
